Feature,Importance
mindsN,0.08925841549910046
ECCEN,0.03252675616357746
CrippenLogP,0.030131356073432952
maxdsCH,0.028716390469850132
VP-7,0.028684784425194326
VPC-4,0.026152608103991056
VP-4,0.025992614029250294
minHCsatu,0.023142971321036508
maxHBint4,0.021094078420321218
SsNH2,0.01835175989959344
maxdsN,0.018149574929819147
XLogP,0.01746843820460531
ATSc4,0.01663613526414884
ATSc5,0.01614380726674619
SssCH2,0.015351751475448308
SwHBa,0.014879379975746296
VC-3,0.01468432489097865
MAXDN2,0.014124999295655976
MDEC-14,0.013277265152948517
ETA_dEpsilon_D,0.013095934865317913
maxssCH2,0.012709854073458269
ETA_dEpsilon_A,0.012146653094321759
MLFER_A,0.012075686431289962
MDEO-11,0.011981098696127615
ETA_Beta,0.01120952461819935
VCH-5,0.011170114935749067
Kier3,0.01110201904845064
maxHCsats,0.010663203851331063
BCUTp-1h,0.010510684516808564
ETA_Epsilon_1,0.009982549307923453
VCH-7,0.009456597508818375
MDEC-22,0.00937497117708565
ETA_Epsilon_2,0.009366544648947941
MAXDP2,0.008471618301659939
mindCH2,0.008120756345582295
minHBint4,0.008103819068589197
SCH-6,0.0074505445795173125
maxsssCH,0.007394192730371999
ALogp2,0.007239112440398651
SdsCH,0.007173712439335578
minHBint2,0.0070657076621226085
RotBFrac,0.006236491095533147
DELS2,0.0062310244889446625
ETA_Shape_P,0.006075941399375541
minHBint6,0.005994156256597429
SHssNH,0.005860668609871372
ETA_Epsilon_5,0.005676358426828958
VP-5,0.00556632306633435
SHdCH2,0.0055306096686380144
ATSc3,0.005527172055634642
nHCsatu,0.005480229393681929
HybRatio,0.005343274453932821
SHBint3,0.005114361168348533
minssssC,0.005071888764400915
BCUTc-1h,0.004985198618407253
maxwHBa,0.004981672030340536
SHCHnX,0.004966465622409561
maxHdCH2,0.004948663047142121
BCUTp-1l,0.004943928666064415
SHdNH,0.004833045127743611
minHdCH2,0.004629172188708623
ETA_Epsilon_3,0.004622562563306114
LipoaffinityIndex,0.004419904875988248
ALogP,0.004324963797204777
ATSm1,0.004209869137968434
maxsssN,0.004157153124015392
nC,0.004125603723014748
CID,0.004017755382478945
minHBd,0.004008080617729201
n4HeteroRing,0.003974653420236173
ETA_EtaP_L,0.003905831498799333
maxsCH3,0.0038860017511426043
SHBint4,0.0037416037805429072
ETA_EtaP,0.003593652291116152
MLFER_S,0.003469680740323925
