Feature,Importance
VC-5,0.25688944912448297
VAdjMat,0.1983494454496495
VP-7,0.19790995395385025
maxsF,0.1826225002080651
hmin,0.16017759324964168
MAXDN,0.15495772509995892
ETA_Eta_L,0.1421418731467813
MLFER_E,0.13969576353717988
nssO,0.13628830408785486
MAXDP2,0.1330006802542313
minssCH2,0.12100631684545912
nF11Ring,0.11922519612417917
nT11Ring,0.11922519612417917
n3HeteroRing,0.11842384984954842
ETA_BetaP,0.11216916231866662
VPC-5,0.1117791380080117
VC-6,0.10887710251182196
ETA_BetaP_ns,0.10865544030728332
SsCH3,0.10808421961169311
Kier1,0.10763106768631552
nssCH2,0.10720131504248533
nHBDon_Lipinski,0.10579325018323853
ETA_dBetaP,0.1051374248387282
SC-5,0.10326119633087304
nT4HeteroRing,0.09997838226710092
MDEO-22,0.09939028704132953
nsssCH,0.09900662994188526
n4HeteroRing,0.09275061506633933
nT4Ring,0.09159211828021359
maxHCsats,0.08864284424703298
SdCH2,0.08811545032689476
SC-4,0.08736981559584774
ETA_Shape_Y,0.08621261224120794
n4Ring,0.08436435107944627
SHBd,0.0840679889608104
ETA_EtaP_F,0.07952358327166228
MDEN-23,0.07871329542325199
maxHCsatu,0.07502257752450611
n7Ring,0.07323023868650137
n3Ring,0.07105806724184377
SC-6,0.06769511322908582
nF8HeteroRing,0.06745134306437538
SC-3,0.06729311086109223
maxsssN,0.06471436880103248
VP-1,0.06319849581962986
ETA_Eta_R_L,0.06267974395904093
nAcid,0.06252790407123685
VPC-4,0.061542627076500295
nF6HeteroRing,0.06118039491560983
mindO,0.060856718355622424
WPOL,0.05973590064053065
maxssNH,0.0577299310831922
maxdsN,0.05764948423630465
SHsOH,0.055630665975682975
bpol,0.05262889273183891
VP-0,0.05197503301604465
minHBd,0.050719445533175825
minsCl,0.04908309073776318
nCl,0.04848294230278035
minsOH,0.0474217171053361
nHCHnX,0.04713691187469363
nsSH,0.04708686072976418
nHsSH,0.04708686072976333
minssO,0.04448068967481311
nHeteroRing,0.044448367701763705
nBr,0.044217624744888696
C3SP3,0.04418785668700679
nBondsS3,0.04259253018726317
BCUTc-1h,0.04251140593497337
SssS,0.04188300918661991
C1SP2,0.0418803382229076
maxHBd,0.04145069859197288
SHCsats,0.04135814728354953
nwHBa,0.04066593991387789
nF8Ring,0.04052851963362288
ndssC,0.03974686619894618
VC-3,0.039620370868719175
MDEC-44,0.039496119532407906
WTPT-2,0.03940454560084378
MLFER_A,0.03922105172300657
nHBd,0.038842688537961204
nBase,0.038700143835518445
C2SP2,0.038399731224227796
ndS,0.03708684500239466
SHssNH,0.03565226209676649
C2SP3,0.035627855515636214
ETA_Eta_F,0.035504717489293694
SP-1,0.035421449952812316
n5HeteroRing,0.03485605761051543
nT5HeteroRing,0.03485605761051543
CrippenLogP,0.034463803605140376
minsssCH,0.03442652682938962
nP,0.03424003393655385
SdS,0.03327723323219572
nsCl,0.03308068948622065
ndCH2,0.03283720341557716
nHdCH2,0.0328372034155753
nHBint9,0.03250722500685663
mindssC,0.03208385249195154
WTPT-5,0.031149867362122434
nTRing,0.03090386760248203
minHsSH,0.0309026333927256
maxHsSH,0.03045755882780965
nRing,0.030042755147604544
maxdsCH,0.03002651017696807
VP-6,0.029061933162506368
mindS,0.02800674398191601
maxdS,0.02800674398191601
nF12HeteroRing,0.027616482324048605
minHBint9,0.027225112525426667
ETA_Psi_1,0.027072490096244663
nBonds,0.026923289314257484
SHsSH,0.026804250665427902
mintsC,0.02668901384693185
maxsCl,0.02663308065801024
maxHBa,0.02630643354318074
PetitjeanNumber,0.025707246251449472
SCH-3,0.02547587269288598
n6Ring,0.025120412343127486
C1SP3,0.02495915390598581
maxtsC,0.024538517294464917
ETA_EtaP_F_L,0.024252154296806955
SHdCH2,0.02358855645156044
minsCH3,0.023296434490967303
ETA_dEpsilon_C,0.022991456550848652
MDEO-11,0.02190481992927518
ATSc2,0.021469888392444025
ATSc1,0.021200049110106815
SssCH2,0.021178758654698853
SsF,0.0207069433360468
maxHBint3,0.020660291007105532
nN,0.02061044051798767
ETA_dPsi_B,0.02024327374872292
maxHBint8,0.018908233646958435
nHBint7,0.017979504591278325
SdsssAs,0.017299199204140536
mindsssAs,0.017299199204140536
nHsOH,0.016881083917086995
nsOH,0.016881083917086183
minwHBa,0.016764268856645833
minsOm,0.01660637852128699
DELS,0.016532245117993796
maxwHBa,0.01622221693621676
nssNH,0.016149276881951797
nHssNH,0.016149276881951526
VCH-3,0.01612817526120893
FMF,0.016037026582920937
maxsNH2,0.015614434198323274
nssssC,0.014771294631394287
SHother,0.014509318052911523
C3SP2,0.014478810855144733
ndssS,0.01446907373117982
nRotBt,0.014413748874573414
MDEC-13,0.014364233782638392
SsCl,0.014014554993427214
sumI,0.013983936622248904
nHBint5,0.013875478427583746
SdsCH,0.013129224963741793
SPC-6,0.012721903229480757
SdO,0.011857903231681725
SCH-4,0.011754875943990264
nC,0.011691572024052714
MDEC-24,0.011181852474307504
nHother,0.010802725122540288
nX,0.010733676527750407
n7HeteroRing,0.010729087436302753
nT10HeteroRing,0.010467927807640599
nF10HeteroRing,0.010467927807640599
maxHBint4,0.010373313141616347
minssS,0.010369892195832295
RotBFrac,0.010171796839017859
nBondsD,0.010109961496060933
nBondsD2,0.010109961496057657
nAtomLC,0.009538830821345828
SHCHnX,0.008985269462373838
nFG12HeteroRing,0.007375911194821982
nF4Ring,0.007227767200761335
nF4HeteroRing,0.007227767200761335
nHBint8,0.007156408837232833
nHBAcc,0.007028624201048305
BCUTc-1l,0.006667873803847138
nT7Ring,0.00584577472756275
nHBDon,0.005807286437733124
nF9HeteroRing,0.005795578783888324
nBondsS2,0.0056353309603893766
nBondsS,0.005635330960382361
WTPT-4,0.005437034270195283
MW,0.005104924549004759
nsssAs,0.004818511468042555
ETA_Epsilon_5,0.00447064004772127
nT6HeteroRing,0.0044616073819312395
ETA_dEpsilon_B,0.004404274191406812
minHBint6,0.004235537190623926
SwHBa,0.004169350411628303
SP-3,0.0041409102005323115
MLogP,0.004086195749413158
nTG12HeteroRing,0.004031721712991376
ETA_Epsilon_3,0.003739177294097725
topoRadius,0.003609759353083067
ndsssP,0.003588503480131784
ETA_BetaP_s,0.0035201613612829085
maxHdCH2,0.0033344442483142158
nHCsatu,0.0031050058222605835
Kier3,0.003076393141822625
minHdCH2,0.0029480731366027736
ETA_Beta_s,0.0026304471710170817
minHBint10,0.002551602247435574
SP-0,0.002319452841246304
ATSp3,0.0020986613264174156
nHBint4,0.0019181774683847
SHBint6,0.0018993136273215616
ATSm3,0.0018965497856362114
ATSp1,0.0017240059788617137
maxsI,0.0015938983336962597
MDEC-22,0.001532996788625481
SsssN,0.0013333171985091216
ETA_Eta_R,0.001072370555572232
MDEC-23,0.0010299281460974135
topoShape,0.001002580159955062
SHBint10,0.0008639533404952226
nFRing,0.0008611124548165558
TopoPSA,0.00040632856712794624
minHdNH,0.0002876325704800348
maxHdNH,0.00028763257048003394
SHdNH,0.00028763257047994807
ATSp5,0.00023818933846924545
BCUTw-1h,0.00019887351644673913
ATSm5,0.00017083013775472805
VP-2,0.00016176665739477125
fragC,0.00011113645272757891
nAromBond,2.64922411574893e-07
ECCEN,1.7436727756114934e-10
nBondsQ,2.8449465006019636e-15
nHmisc,8.187894806610529e-16
nHaaNH,5.065392549852277e-16
naaNH,4.996003610813204e-16
nsBH2,4.85722573273506e-16
nssssBem,3.469446951953614e-16
nssssGe,3.382710778154774e-16
