Feature,Importance
mindsN,0.07335019760996363
ECCEN,0.024565942857989867
maxdsN,0.021764780276648736
XLogP,0.019385306896792152
CrippenLogP,0.019278151660039728
SwHBa,0.018714103830051225
SssCH2,0.015196959075285156
ALogp2,0.013070331568231114
maxdsCH,0.012716310879328585
MDEC-22,0.012702075763416813
VC-3,0.011665152809973024
CID,0.011565930094717493
MDEN-12,0.011356639114538165
MAXDN2,0.011038520135630284
maxwHBa,0.0102433362454863
ATSc5,0.01000784177376599
MLFER_A,0.009785205362431026
minHCsatu,0.009475637120303504
BCUTc-1h,0.00895895943110841
VP-7,0.007476891135691965
minssCH2,0.007228531682908834
maxHBint4,0.0069867238781949476
ATSc4,0.006849204988983103
SHBint3,0.006824033684734651
ETA_dEpsilon_B,0.006820198266539171
MAXDN,0.006628370162011542
ETA_Shape_P,0.0064295387582986785
VPC-4,0.006371644334663453
minHBint4,0.006364499004279685
ETA_EtaP_B,0.006074793769690117
BCUTc-1l,0.005985608540077113
VCH-7,0.005894388536269922
VP-4,0.005784165961363937
SHBint4,0.005712999671955505
MAXDP2,0.005623928646389257
MDEC-33,0.005617445188000834
VCH-5,0.005500516682278611
ALogP,0.005454826665188452
minHBa,0.005418242087313367
minssNH,0.005288472590785544
SdssC,0.005267061991403835
minHBint5,0.005197733158599644
ETA_BetaP_s,0.005143093093475144
minsCH3,0.00513916538054087
maxssCH2,0.0051023602167437326
LipoaffinityIndex,0.00498113866093416
BCUTp-1l,0.004980205636311378
SHdCH2,0.004697439467901107
SsCH3,0.004693224894749992
SsNH2,0.004669240919837876
RotBtFrac,0.00464829725053487
ETA_dEpsilon_A,0.004530256513512463
ETA_EtaP_B_RC,0.004368252677684264
ETA_Eta_B,0.004245070609141413
SHCsatu,0.004235831834437405
SsssN,0.004224999395018208
ATSc3,0.004175970198804704
MLFER_L,0.004144982286323079
ETA_Epsilon_2,0.004035287951258383
BCUTp-1h,0.0038657334844259365
mindsCH,0.0038474837950342278
VC-5,0.0038295270735580027
minHBint6,0.0037724402840085863
maxHdCH2,0.0037135378697873054
minHCsats,0.0036706331663790776
mindCH2,0.00363628151818271
maxHBint5,0.0035931723054692696
minwHBa,0.0035583555222167794
mindssC,0.0035156274200326414
hmin,0.003505652059173
WTPT-2,0.0035008001900693315
VP-5,0.0034937041392159346
DELS2,0.003491227520195553
ATSm1,0.0034581780241125224
MDEO-11,0.003418659673403479
maxssNH,0.003386522131286532
ETA_Epsilon_1,0.003381992321753355
maxsCH3,0.0033585231335086754
ETA_Shape_Y,0.003309979038625338
SHsOH,0.003295051434341593
SHBint5,0.003284399608682562
WTPT-4,0.003250893819225989
C2SP2,0.003243747891040196
ETA_dEpsilon_D,0.0032436929734820357
BCUTw-1l,0.003230026669439184
SC-3,0.003122492583632625
maxHCsats,0.003083266446946279
minHdCH2,0.003081527672125481
SdsCH,0.0030659690919013416
maxHdNH,0.0030589664225478532
MDEC-14,0.0029867399992351733
maxsssCH,0.002963183172271705
SHdsCH,0.0029020946743977755
CrippenMR,0.00289540979122619
SPC-4,0.002876678499140241
MLFER_E,0.0028487293956335285
gmax,0.002814071406537568
ETA_Epsilon_4,0.0027968178931967783
globalTopoChargeIndex,0.002781914256836422
hmax,0.002775834823861338
VPC-5,0.002768037947921179
maxdssC,0.0027613443542906183
RotBFrac,0.0027411408788622265
nAtomLC,0.0027332305477433066
SdCH2,0.0027086709955279624
maxsNH2,0.0027014496875049105
minHBint10,0.002680423947246316
maxdCH2,0.002676833734759014
ETA_Shape_X,0.0026003605168595277
SHsNH2,0.0025830106378292917
ETA_Epsilon_5,0.0024984878649018222
ETA_dEpsilon_C,0.0024497187085095583
Kier3,0.002442056719371927
SPC-6,0.002441729030576843
DELS,0.002426427913299563
FMF,0.0024202822312647913
SHBa,0.0023931605071909226
MAXDP,0.0023852714388544935
minHBint2,0.0023823099332391387
VP-6,0.002378909909548442
minssssC,0.0023709747117675287
ETA_dPsi_A,0.0022868409781846744
SHBint10,0.002286745036153534
minHBint9,0.0022835580509475324
SCH-6,0.0022337377485137167
SHBd,0.002214622128065989
topoDiameter,0.0022136131063596395
ETA_dBetaP,0.0022028962250535966
SHdNH,0.002191787553123376
maxHBa,0.0021638379403898095
nssCH2,0.002159028372189654
minHBd,0.002149531932931395
MLFER_BH,0.002113537808943937
SsOH,0.002091904017009376
MDEC-11,0.002086915137500132
HybRatio,0.0020616191506049883
bpol,0.002026907842233432
maxsssN,0.0020267255659308513
nBase,0.002026519423307778
SsCl,0.0019938904175520276
nsCl,0.001970189182643195
SC-5,0.0019491417644779958
SHCHnX,0.0019339507312258009
minsssCH,0.0019207008340813244
nwHBa,0.0019170198916584487
MLFER_S,0.0019083415231888378
ETA_EtaP_F,0.001856654122692528
VCH-6,0.0018343618539758044
ETA_dBeta,0.00181502376547607
SP-7,0.0018138095579107835
ETA_BetaP,0.0017916120417472861
ETA_AlphaP,0.0017898958162689985
ETA_BetaP_ns,0.001771075208825569
fragC,0.001768517275565348
ETA_EtaP_F_L,0.0017609319490577702
AMR,0.0017300342106190633
nHother,0.0017206574185095966
ATSp5,0.0017124476157311262
MDEN-11,0.001702223255562784
SCH-7,0.0016857292877666605
WTPT-3,0.0016743695567340024
MDEC-13,0.0016577252127376193
SC-4,0.0016289268964253215
VPC-6,0.0016245088888254932
ATSm3,0.001623025357894948
MDEC-23,0.001613806469758366
ATSc1,0.0016116608559965746
ATSp3,0.001603960724341409
TopoPSA,0.0015917946614132585
ETA_Eta_L,0.001579592964380926
minsssN,0.0015745158531439234
WTPT-5,0.0015712609449259265
nT6HeteroRing,0.0015617963254675807
maxsCl,0.0015612966426430427
minsOH,0.0015452005211795124
SHother,0.0015429671352138823
minHdsCH,0.0015280424244243753
VABC,0.001509773439833875
minsCl,0.001502562137257315
SHCsats,0.0014994756855247814
minHsOH,0.0014943087510832745
maxHdsCH,0.0014846114824734553
maxHCsatu,0.0014811351798998454
maxdO,0.0014776069465668115
minsNH2,0.0014748255670815969
maxHBint9,0.0014742525639303327
sumI,0.0014635438604878304
BCUTw-1h,0.0014623094092457683
maxHother,0.0014425423846123845
maxssssNp,0.00142886708760864
minssO,0.0014222605846403208
SwHBd,0.0014099069873734853
SssssC,0.0013970532403790364
minssS,0.0013967505533580159
MW,0.0013922316280908622
minHssNH,0.0013695803098631944
nAtom,0.0013460965630427558
ATSm5,0.0013108865127953852
SPC-5,0.0013107320856874602
maxHsSH,0.001305617691197963
maxsI,0.0012862706544923702
nRotB,0.001277449751036068
nH,0.0012702492074395265
ATSm4,0.0012655359492491265
nHCsats,0.001261236325954881
ETA_dAlpha_A,0.00125751848533182
MLFER_BO,0.0012527503601249897
ETA_EtaP,0.001238788761113103
SHBint9,0.0012354567202303656
nBondsS2,0.0012348777950218733
MDEN-33,0.0012057322338539164
MLogP,0.0012018933109310874
SCH-5,0.0011886761313711232
minHdNH,0.0011873124188400786
ATSp1,0.0011797990436023958
McGowan_Volume,0.0011767346183063094
VP-1,0.001171842702689113
ETA_Eta_B_RC,0.0011543978008656352
minHother,0.0011430624162828897
SddssS,0.00114300591933109
minddssS,0.0011326843868205132
minHsSH,0.0011308570419559863
ETA_Epsilon_3,0.001125917040780383
SHBint6,0.0011055543902235296
VP-3,0.0010959969194443433
ETA_EtaP_L,0.0010771289335945924
C1SP2,0.0010704201918490491
MDEO-12,0.0010651503432786307
SssNH,0.001055418416208156
SP-2,0.0010514645478272642
maxHBint2,0.0010514598752174777
ETA_Eta_F_L,0.001044498271579697
Kier2,0.0010378164705132627
nT6Ring,0.001026830714571497
ATSp4,0.0010239071546118274
minssssNp,0.001021839278481309
ETA_Beta,0.0010178111514639395
SsssCH,0.0010028381522606683
nT10HeteroRing,0.0010009434108451411
ATSc2,0.0009993164887377945
SP-5,0.0009951324508722904
nN,0.0009937251570792103
MDEN-23,0.0009805923601970798
SP-4,0.0009685042725683923
SssssNp,0.0009602365412425005
minHsNH2,0.0009537376414637047
SP-6,0.0009318310583550646
nsssN,0.0009279500603947363
maxssO,0.0009249618847239281
Kier1,0.0009195439119752277
nHBint2,0.0009137550138341976
maxHBint3,0.0008797092856749466
minHBint3,0.000852425052451158
MDEC-12,0.0008518154772602476
nBondsS3,0.0008472123360492682
topoShape,0.0008369432444284142
nHeavyAtom,0.0008362715521223287
MDEN-13,0.0008353376340624656
topoRadius,0.0008327945058131686
ndssC,0.0008320177796342256
SssS,0.0008299705043686095
PetitjeanNumber,0.0008258235484259886
C1SP3,0.0008137558294667867
SHBint2,0.000790008312831216
SHsSH,0.0007892352046882597
nHBAcc_Lipinski,0.0007776806997930081
nsCH3,0.0007768663333709002
nHBAcc,0.0007585884688658634
nBondsS,0.0007497481157291835
nHCsatu,0.0007465895430445196
maxsOH,0.0007452091841859257
minHBint7,0.0007451475389275549
nBondsM,0.0007258749733876531
maxHsOH,0.0007251478530628506
mindO,0.000724951767917994
SP-0,0.0007205546422531045
ndsCH,0.0007117521890811126
WPOL,0.0007066592147979598
MDEN-22,0.0007033012211787888
nBr,0.0007021764333187816
VC-6,0.0006979514978562589
Zagreb,0.0006881005765918993
ETA_Beta_ns,0.0006839847384992144
VP-2,0.0006831951141918395
SC-6,0.0006826312387943654
ATSp2,0.0006820062737060386
nC,0.0006815553237118109
SsBr,0.0006759980549375613
ndO,0.000675303113419544
nAcid,0.0006691950656123195
nBondsD2,0.0006674133800624118
nHBint6,0.000665629848211416
