CID,Anomaly_Score
11434139,-1
9832750,-1
41774,-1
6434889,-1
441351,-1
441371,-1
5485201,-1
6433272,-1
21653,-1
6915744,-1
457193,-1
9854073,-1
3081544,-1
53025,-1
447043,-1
89971161,-1
216258,-1
5282488,-1
60822,-1
8514,-1
249332,-1
6473883,-1
73111,-1
133685584,-1
16667732,-1
5284373,-1
24978553,-1
5381226,-1
131801469,-1
5282521,-1
22833295,-1
656630,-1
441207,-1
36314,-1
6436173,-1
6323497,-1
5311498,-1
84029,-1
6420023,-1
2724385,-1
16130140,-1
65348,-1
9566057,-1
445643,-1
12560,-1
443953,-1
19648,-1
442021,-1
16129666,-1
16052038,-1
10909430,-1
5388983,-1
16717105,-1
5892,-1
6321424,-1
