Feature,p_value
CrippenLogP,0.006803694492702978
SHBint2,0.0068437314243342704
nF10Ring,0.0069231137259339855
nT10Ring,0.0069231137259339855
maxsssN,0.015973602335943596
ETA_dAlpha_B,0.01708461328434483
minsssN,0.018281938675030834
SdssC,0.020003023367468273
maxdssC,0.025057820338517563
minHBa,0.02783586376795369
maxsCH3,0.02864657383496065
nHBint2,0.0331628225863642
ETA_Psi_1,0.03358677121668156
minHBint5,0.034176762374564726
ETA_dPsi_A,0.03439335990143633
ETA_AlphaP,0.03472352821173902
SHsOH,0.03492339712939214
SHBd,0.03631784556544128
maxHBint2,0.03814481164691603
ETA_Shape_X,0.040500428268706395
ndO,0.04294854329764144
ETA_dEpsilon_D,0.0436484653126593
VP-1,0.045501108029583695
VP-0,0.04692830814371139
MLFER_L,0.04795126399476063
C3SP2,0.04839480853022804
